"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.622464898596,311.224489795918,306.278713629403,309.568989887568,312.375,321.391858391548,326.725586470267,330.136216336246,333.333333333333,332.291666666667,332.557365373301,332.746478873239,327.788649706458,317.228226319135,320.627802690583,333.85336552503,338.58499560525,345.536917067755,354.066718117528,354.575221745934,356.120257695061,358.458961474037,358.470525756771,360.501567398119,358.739026336792,358.802816901408,360.621326616289,367.882608695652,373.469387755102,377.410468319559,379.266434892541,384.150924246754,385.661335933691,385.015608740895,385.657142857143,386.25102473839,386.084160464551,383.351477449456,385.770889036559,388.485391606923,398.058252427184
"Cook","IL","Chicago","17","031",2,181.584399944949,183.481329465933,184.520246320233,184.124968249937,180.067567567568,178.506376845929,171.89129648662,169.002191609267,162.931014201954,162.794096227606,158.80721220527,150.326797385621,146.379170056957,145.244215938303,146.240026595745,148,148.137950726056,145.95041322314,144.4472602354,142.053447572419,140.809913108474,137.458745874587,132.205882352941,126.262626262626,126.802030456853,129.057365331523,130.47940689154,132.933258553001,133.402393084747,131.405353728489,125.744234800839,123.935309973046,122.006953837243,121.440972222222,127.232142857143,124.650836313649,123.902272091925,127.931005321332,133.631929903561,138.226882745472,142.278203723987,145.3165374677,144.221435130526,143.127385496183,144.838514470888,142.828571428571,137.643458301454,135.963889555962,131.469298245614,140.434977578475,148.031187514827,154.545454545455,159.699892818864,161.582073434125,160.800661072972,159.379160213309,157.435810270357,155.472151969876,150.2079002079,142.789034564958,139.027754942774,146.498371335505,156,158.983913268322,163.480297235804,164.93281024531,164.0625,162.207357859532,161.233053582957,160.320723684211,157.110758817243,152.945096732462,152.173913043478,157.623164057671,165.817535545024,171.146717443735,174.499883666822,175.20813794723,172.872074468085,169.507575757576,169.475214198286,167.776914970326,164.427690198766,160.055671537926,159.828857843957,168.932411674347,176.253918495298
"Harris","TX","Houston","48","201",3,75.2556818181818,76.1425462459195,76.3193695909248,76.4940239043825,76.2121601618701,75.8107233215118,74.6547219111609,74.5646766169154,75.2401280683031,74.6047511496154,74.9767873723305,74.0663900414938,73.514461996506,73.5144312393888,73.7793675969072,73.6397815581313,74.1682974559687,74.6268656716418,74.1213151927438,73.5754019851706,71.7014324328679,71.979091914201,71.0505529225908,71.0312626877791,71.0384263494968,71.072319201995,71.9876121315677,72.9713952130765,73.4315589353612,73.7676056338028,73.5445724681625,73.4430082256169,73.2747135624833,73.1258503401361,75.1024208566108,75.7432590069708,76.0938490805327,78.5746916400183,79.8184031417209,80.7940904893813,81.6176470588235,82.3869346733668,82.5125603864734,82.9562594268477,83.5353229724855,85.3,84.6651020473551,85.3041204381102,85.9196768705746,88.3207437536316,89.6493248200661,91.6666666666667,92.4608819345661,92.4499229583975,93.0523615176872,94.2982456140351,95.4179041154009,96.0581198696983,97.5182522361896,99.6278161432518,102.123397435897,104.184829991282,104.972375690608,106.985832926234,104.86757337151,103.35323840147,106.03920768144,106.672597864769,107.615523429682,108.839050131926,108.503904644472,110.309698871327,111.342160698164,109.027474923681,110.220525869381,110.387007657186,110.82590366491,110.836677987033,110.138156733668,110.563395127875,110.158588235294,110.168634064081,109.530165049512,109.470451207743,110.140940111955,111.257349615559,112.066071428571
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.536418166238,123.235552183967,123.699846780338,124.929521934485,125.649913344887,126.441631504923,126.320604378595,126.304801670146,125.415378433754,125.510204081633,125.808219178082,127.17221450838,126.364365971108,125.506072874494,129.333709826156,131.594770438481,133.161080797685,134.731756928553,135.270700636943,134.830016051364,132.839754324976,134.490180252892,135.663452073336,137.40157480315,138.828954990742,139.335725777066,140.625,143.292537301013,143.706776640369,144.155307724081,145.242919389978,144.66320791676,143.963055897292,143.768796772316,144.396551724138,145.506965944272,146.188576060398,146.6,147.969179966979,149.656821948549,150
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.835371298636,275.574709271624,277.275661717237,281.578947368421,286.672228563673,290.715971675846,295.452446906741,297.423374554283,296.782178217822,296.911825033132,295.611171563293,293.553971941739,290.373443983402,286.775362318841,290.516724598257,295.746392082369,300.78307350084,303.27868852459,309.446254071661,304.715353651524,316.287451276484,317.419831763747,318.544809228039,316.696914700544,317.343173431734,318.531061614425,319.478527607362,322.268326417704,325.447916666667,326.825603342435,328.779224203534,330.025634461118,332.105082200085,331.632653061225,331.969111969112,332.418062393597,330.273728373629,330.901511203752,334.166146158651,335.775065833432,340.877854965266
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.330345587608,344.480663603547,344.736842105263,346.064814814815,348.399803979517,350,353.196721311475,354.795439302482,357.048399894208,356.870387882609,356.071573485121,358.272506082725,356.617647058824,355.856086673745,353.801683994795,356.269113149847,360.984036422314,362.268195191536,364.824968367777,368.148646360937,370.594553607471,372.561228725612,374.624925504377,375.1320629477,375.215011727912,374.237899980474,377.187688593844,378.787878787879,382.352941176471,384.473372781065,386.782720825274,389.064143007361,391.776157556111,391.86460807601,391.539153915392,391.791980055759,392.796848621272,394.761214395361,395.810571890047,398.351178044852,400.090826521344,404.320987654321
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.141428571429,353.75,352.174254317111,358.880476874211,365.869401664011,367.577197149644,372.219084242397,362.476765799256,361.269841269841,374.875,375.903225806452,397.166728326551,386.236898056623,385.333333333333,376.379590180564,385.73883161512,393.437757166369,418.563922942207,433.333333333333,437.162876020916,437.134502923977,436.731960641399,456.649525481835,453.01360985094,456.649525481835,509.776612594899,502.320797794434,519.925820707071,536.388140161725,562.729330495004,561.863722289053,564.516129032258,558.148616850889,581.553398058252,593.75,591.274397244547,593.0359085963,648.999,663.399831792758,638.866396761134,688.397074768552,650.016763599042,662.837361760347,649.577638077351,666.666666666667,691.198752228164,699.977200182399,702.142857142857,713.53426210306,707.980957312162,719.416386083053,731.489015459723
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.457461336151,162.567736556899,166.555555555556,170.382553606238,169.491525423729,168.765743073048,174.081237911025,180.698514540329,164.080495356037,162.828754854842,168.195718654434,180.281690140845,182.190892071381,186.170212765957,187.456369061973,183.879598662207,187.290396739139,185.801176450201,187.065368567455,185.38283062645,186.122283155154,190.424374319913,193.825844835792,208.880597014925,213.020584011489,209.850543478261,219.278466741826,219.219192936917,218.928932300438,204.081632653061,205.263157894737,220.544918998527,224.002850411211,229.357798165138,228.758169934641,246.452968996322,249.058380414313,263.492063492063,271.196764082062,262.857142857143,270.033345033345,272.899028696093,272.197996020579,271.58799249531,265.916546763948,272.09543123243,276.855960711553,280,283.045977011494,283.018867924528,285.535714285714,286.677908937605
"Dallas","TX","Dallas-Fort Worth","48","113",9,85.0065445026178,85.2359208523592,87.7143996808935,88.751345532831,88.2103762225439,87.7634660421546,87.4362452663989,85.7843137254902,84.7820089406194,83.7071456828864,81.8104506056809,78.494623655914,76.8122919334187,76.4455782312925,75.6267409470752,74.8936096665647,77.3549594510293,77.608630903134,75.8245244603113,73.8494318181818,71.3852680681466,71.4278571428571,70.5329153605016,68.5955284552846,69.3408499566349,70.6124852767962,70.6476530005942,70.7684180949182,72.3723970879503,74.0217551949395,73.8579545454545,72.2255729794934,71.6986769099445,73.2142857142857,83.3333333333333,83.1253713606655,82.4420677361854,83.577856502109,88.6840432294978,91.3317595578075,93.0620870044053,93.3391003460208,93.3290329316311,93.0616740088106,93.8841201716738,93.5483870967742,92.934564431955,92.9651162790698,89.9902723735408,90.6499429874572,95.8333333333333,99.3076857532379,102.330922242315,98.0118599067629,98.5091061171412,103.076358749701,100.498718407046,100.541038950902,98.0833636203597,100.781928757602,101.125629918591,106.174089068826,110.691847419596,113.727956536478,113.636363636364,113.944856839873,111.502145922747,111.636825564876,113.801360041646,115.778136779752,116.106719367589,115.42904290429,116.233470132239,119.839067085643,125.110391521931,129.859853148374,133.053755242089,133.076074608333,132.26552036981,130.750241779666,133.887987012987,135.290731145653,135.767149564005,136.462228870606,137.832607643928,140.046701692936,143.720884632923
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.722950699582,281.200049640109,283.975659229209,290.833333333333,291.547619047619,296.415510098896,298.353909465021,300,302.211302211302,308.529560609669,303.504761904762,304.466230936819,301.724137931034,301.587301587302,301.68776371308,312.5,317.602040816327,328.571428571429,337.357954545455,336.925287356322,338.709677419355,339.746177964539,340.99775581154,336,335.039817974972,341.487279843444,343.072585234622,346.854304635762,336.743393009378,351.232394366197,366.858013895069,369.86301369863,376.946966077401,382.85395669113,384.798558766052,386.71875,387.323943661972,399.266666666667,406.1875,409.722222222222,419.988081725312,424.001255155101,426.078028747433,432.691826923077,436.72462406015,439.965313028765,446.225426944972,440.643079661771,439.6482813749,433.985882352941,438.643335192415,449.32579787234
