Round County Immigrants,Round State Immigrants,County Immigrants,County,Number of Records,Origin (B05006 2015 5 yr (County)),Origin (quickfilter 2),Origin (tooltip),Origin (quickfilter),Origin,State (B05006 2015 5 yr (County)),State Immigrants,State,Total state immigrant population,Total state population
,"167,000",861,Autauga County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"6,900","167,000",6882,Baldwin County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",737,Barbour County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",251,Bibb County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,400","167,000",2393,Blount County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",573,Bullock County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",144,Butler County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"3,000","167,000",2987,Calhoun County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",361,Chambers County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",261,Cherokee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,300","167,000",2333,Chilton County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",21,Choctaw County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",126,Clarke County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",290,Clay County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",231,Cleburne County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,200","167,000",2158,Coffee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1013,Colbert County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",131,Conecuh County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",197,Coosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",407,Covington County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",328,Crenshaw County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1996,Cullman County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1616,Dale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",332,Dallas County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"5,400","167,000",5402,DeKalb County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1700,Elmore County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",215,Escambia County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,800","167,000",2796,Etowah County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",76,Fayette County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,800","167,000",2790,Franklin County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",730,Geneva County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",19,Greene County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",146,Hale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",250,Henry County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"2,500","167,000",2472,Houston County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1200,Jackson County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"26,500","167,000",26464,Jefferson County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",117,Lamar County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1723,Lauderdale County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",227,Lawrence County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"8,300","167,000",8307,Lee County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"4,200","167,000",4188,Limestone County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",32,Lowndes County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",266,Macon County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"18,700","167,000",18687,Madison County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",224,Marengo County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",515,Marion County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"7,300","167,000",7262,Marshall County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"12,800","167,000",12799,Mobile County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",55,Monroe County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"9,800","167,000",9832,Montgomery County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"5,600","167,000",5598,Morgan County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",54,Perry County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",218,Pickens County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1064,Pike County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",407,Randolph County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1454,Russell County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"11,300","167,000",11315,Shelby County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1552,St. Clair County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",196,Sumter County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",1272,Talladega County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",633,Tallapoosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
"7,000","167,000",7038,Tuscaloosa County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",883,Walker County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",122,Washington County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",0,Wilcox County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"167,000",295,Winston County,1,Total:,Total:,all countries,(Total),Total:,Alabama,167224,Alabama,167224,4830620
,"54,000",1491,Aleutians East Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"2,000","54,000",2012,Aleutians West Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"29,800","54,000",29803,Anchorage Municipality,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",328,Bethel Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",19,Bristol Bay Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",139,Denali Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",83,Dillingham Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
"5,100","54,000",5067,Fairbanks North Star Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",181,Haines Borough,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
,"54,000",114,Hoonah-Angoon Census Area,1,Total:,Total:,all countries,(Total),Total:,Alaska,54047,Alaska,54047,733375
